tmdb_id,tmdb_fetch_status,tmdb_title,tmdb_release_date,tmdb_original_language,tmdb_popularity,tmdb_budget,tmdb_revenue,tmdb_status,tmdb_vote_average,tmdb_vote_count,tmdb_primary_company,tmdb_primary_country
18183,ok,Like Water for Chocolate,1992-04-16,es,2.3505,2000000,21744201,Released,7.285,553,Aviacsa,Mexico
4476,ok,Legends of the Fall,1994-12-23,en,8.9405,30000000,160638883,Released,7.384,2833,Bedford Falls Productions,United States of America
11318,ok,The Madness of King George,1994-12-28,en,2.2609,0,15238994,Released,6.803,256,The Samuel Goldwyn Company,United Kingdom
3036,ok,Mary Shelley's Frankenstein,1994-11-04,en,2.6887,45000000,112000000,Released,6.446,1360,American Zoetrope,United States of America
8986,ok,Milk Money,1994-08-31,en,2.7546,0,18137661,Released,6.393,305,The Kennedy/Marshall Company,United States of America
10510,ok,Miracle on 34th Street,1994-11-18,en,3.918,0,46264384,Released,6.756,1143,20th Century Fox,United States of America
1945,ok,Nell,1994-12-23,en,2.5445,31000000,106683817,Released,6.548,545,Egg Pictures,United States of America
241,ok,Natural Born Killers,1994-08-26,en,5.6761,34000000,50283563,Released,7.1,3764,Warner Bros. Pictures,United States of America
6950,ok,Outbreak,1995-03-10,en,5.008,50000000,189900000,Released,6.6,2464,Kopelson Entertainment,United States of America
101,ok,Léon: The Professional,1994-09-14,fr,18.2514,16000000,45284974,Released,8.295,16019,Gaumont,France
680,ok,Pulp Fiction,1994-09-10,en,33.3535,8000000,213928762,Released,8.484,30081,Miramax,United States of America
11450,ok,Quiz Show,1994-08-25,en,2.9987,31000000,24822619,Released,7.253,982,Baltimore Pictures,United States of America
12106,ok,The Quick and the Dead,1995-02-09,en,4.7831,35000000,47000000,Released,6.5,1934,TriStar Pictures,United States of America
108,ok,Three Colors: Blue,1993-09-08,fr,3.2029,0,1527572,Released,7.635,1883,MK2 Films,France
109,ok,Three Colors: White,1994-01-26,fr,3.3802,0,1273525,Released,7.447,1318,MK2 Films,France
2636,ok,The Specialist,1994-10-07,en,3.8345,45000000,170362582,Released,5.925,1428,Jerry Weintraub Productions,United States of America
2164,ok,Stargate,1994-10-28,en,6.389,55000000,196567262,Released,7.016,3770,Le Studio Canal+,United States of America
11395,ok,The Santa Clause,1994-11-11,en,3.8587,22000000,189833357,Released,6.519,2283,Walt Disney Pictures,United States of America
278,ok,The Shawshank Redemption,1994-09-23,en,48.1974,25000000,28341469,Released,8.719,30237,Castle Rock Entertainment,United States of America
9905,ok,Shallow Grave,1994-12-22,en,2.7118,2500000,19779614,Released,6.999,1131,The Glasgow Film Fund,United Kingdom
9067,ok,Tank Girl,1995-03-31,en,3.1579,25000000,4064495,Released,5.499,567,Trilogy Entertainment Group,United States of America
193,ok,Star Trek: Generations,1994-11-18,en,2.8735,38000000,118071125,Released,6.519,1476,Paramount Pictures,United States of America
11381,ok,Tommy Boy,1995-03-31,en,3.4485,20000000,32648673,Released,6.808,1046,Paramount Pictures,United States of America
1587,ok,What's Eating Gilbert Grape,1993-12-17,en,5.968,11000000,10000000,Released,7.663,4258,Paramount Pictures,United States of America
2064,ok,While You Were Sleeping,1995-04-21,en,4.5211,17000000,182100000,Released,7.022,1990,Caravan Pictures,United States of America
236,ok,Muriel's Wedding,1994-09-29,en,2.6719,3000000,15119639,Released,6.838,487,CiBy 2000,Australia
3049,ok,Ace Ventura: Pet Detective,1994-02-04,en,9.5023,15000000,107217396,Released,6.577,6350,Morgan Creek Entertainment,United States of America
2759,ok,"The Adventures of Priscilla, Queen of the Desert",1994-08-10,en,3.5296,2000000,29700000,Released,7.263,912,PolyGram Filmed Entertainment,Australia
11382,ok,Bullets Over Broadway,1994-10-14,en,2.5641,20000000,37483747,Released,7.091,667,Miramax,United States of America
9331,ok,Clear and Present Danger,1994-08-03,en,13.2159,62000000,215887717,Released,6.642,1664,Paramount Pictures,United States of America
10731,ok,The Client,1994-07-20,en,5.5274,45000000,117615211,Released,6.686,1365,Alcor Films,United States of America
9495,ok,The Crow,1994-05-11,en,6.1261,23000000,93722164,Released,7.516,4489,Entertainment Media Investment,United States of America
888,ok,The Flintstones,1994-05-27,en,5.6897,46000000,341631208,Released,5.37,2609,Hanna-Barbera Cartoons,United States of America
13,ok,Forrest Gump,1994-06-23,en,30.8685,55000000,677387716,Released,8.464,29628,Paramount Pictures,United States of America
712,ok,Four Weddings and a Funeral,1994-03-09,en,5.5712,4400000,245700832,Released,6.8,2984,PolyGram Filmed Entertainment,United Kingdom
10714,ok,The Jungle Book,1994-12-23,en,3.461,27000000,53508356,Released,5.965,497,Walt Disney Pictures,United States of America
8587,ok,The Lion King,1994-06-15,en,23.4504,45000000,763455561,Released,8.3,19605,Walt Disney Pictures,United States of America
854,ok,The Mask,1994-07-29,en,12.8734,23000000,351583407,Released,6.983,11192,Dark Horse Entertainment,United States of America
9359,ok,Maverick,1994-05-20,en,4.4936,75000000,183031272,Released,6.896,1756,Warner Bros. Pictures,United States of America
36593,ok,Naked Gun 33⅓: The Final Insult,1994-03-18,en,5.353,30000000,132032598,Released,6.505,2498,Paramount Pictures,United States of America
12280,ok,The Paper,1994-03-18,en,3.1615,6000000,48400000,Released,6.601,237,Imagine Entertainment,United States of America
2788,ok,Reality Bites,1994-02-18,en,2.4712,11500000,33351557,Released,6.555,785,Universal Pictures,United States of America
11011,ok,Ri¢hie Ri¢h,1994-12-19,en,5.398,40000000,38087756,Released,5.938,2406,Davis Entertainment,United States of America
8987,ok,The River Wild,1994-09-30,en,3.4791,45000000,94216343,Released,6.452,951,The Turman-Foster Company,United States of America
1637,ok,Speed,1994-06-09,en,7.9841,30000000,350448145,Released,7.15,6799,20th Century Fox,United States of America
8831,ok,Timecop,1994-09-15,en,3.6856,28000000,128953581,Released,6.01,1307,Renaissance Pictures,United States of America
36955,ok,True Lies,1994-07-15,en,7.2627,115000000,378900000,Released,7.094,4536,Lightstorm Entertainment,United States of America
12160,ok,Wyatt Earp,1994-06-24,en,4.0731,63000000,25052000,Released,6.779,928,Paragon Entertainment Corp.,United States of America
2758,ok,Addams Family Values,1993-11-19,en,5.4757,47000000,48919043,Released,6.972,3289,Scott Rudin Productions,United States of America
13595,ok,Airheads,1994-08-05,en,3.0615,15000000,5751882,Released,6.172,813,Robert Simonds Productions,United States of America
11041,ok,The Beverly Hillbillies,1993-10-15,en,4.1123,25000000,57405220,Released,6.302,584,20th Century Fox,United States of America
306,ok,Beverly Hills Cop III,1994-05-24,en,3.3218,50000000,119208989,Released,5.9,2110,Eddie Murphy Productions,United States of America
6075,ok,Carlito's Way,1993-11-10,en,5.332,30000000,63848322,Released,7.831,3443,Universal Pictures,United States of America
11310,ok,City Slickers II: The Legend of Curly's Gold,1994-06-10,en,1.4645,40000000,72000000,Released,5.309,343,Castle Rock Entertainment,United States of America
9350,ok,Cliffhanger,1993-05-28,en,5.186,70000000,255000211,Released,6.515,2614,Carolco Pictures,France
9612,ok,Coneheads,1993-07-23,en,4.9555,33000000,21274717,Released,5.473,1022,Paramount Pictures,United States of America
11566,ok,Dave,1993-05-07,en,3.1373,28000000,92000000,Released,6.65,831,Donner/Shuler-Donner Productions,United States of America
9571,ok,Dazed and Confused,1993-09-24,en,5.3251,6900000,8259076,Released,7.319,2246,Gramercy Pictures,United States of America
9739,ok,Demolition Man,1993-10-08,en,8.5928,57000000,159055768,Released,6.753,4072,Silver Pictures,United States of America
37233,ok,The Firm,1993-06-30,en,4.8965,42000000,270248367,Released,6.738,2288,Mirage Enterprises,United States of America
1634,ok,Free Willy,1993-07-16,en,4.1954,20000000,153698625,Released,6.192,1962,Donner/Shuler-Donner Productions,United States of America
5503,ok,The Fugitive,1993-08-06,en,7.2964,44000000,353808222,Released,7.5,4759,Warner Bros. Pictures,United States of America
9255,ok,Hot Shots! Part Deux,1993-05-21,en,5.5766,25000000,133752825,Released,6.543,2047,Sidley Wright & Associates,United States of America
10612,ok,The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12,en,1.7728,0,0,Released,6.322,315,Miramax,United Kingdom
11934,ok,The Hudsucker Proxy,1994-03-11,en,3.1293,25000000,2800000,Released,7.071,1179,Warner Bros. Pictures,United Kingdom
9386,ok,In the Line of Fire,1993-07-08,en,4.2824,40000000,177000000,Released,7.0,1793,Castle Rock Entertainment,United States of America
7984,ok,In the Name of the Father,1993-12-27,en,3.615,13000000,65796862,Released,7.892,1960,Hell's Kitchen,Ireland
329,ok,Jurassic Park,1993-06-11,en,8.3008,63000000,920100000,Released,8.0,17765,Universal Pictures,United States of America
9593,ok,Last Action Hero,1993-06-18,en,6.1398,85000000,137298489,Released,6.5,2972,Oak Productions,United States of America
2320,ok,Executive Decision,1996-03-15,en,5.0227,55000000,121969216,Released,6.343,1027,Silver Pictures,United States of America
11971,ok,Much Ado About Nothing,1993-05-07,en,3.2773,11000000,22600000,Released,6.952,805,Renaissance Films,United Kingdom
788,ok,Mrs. Doubtfire,1993-11-24,en,9.6839,25000000,441286195,Released,7.196,6586,20th Century Fox,United States of America
9800,ok,Philadelphia,1993-12-22,en,4.3615,26000000,206678440,Released,7.715,4609,TriStar Pictures,United States of America
713,ok,The Piano,1993-05-18,en,4.1728,7000000,40200000,Released,7.38,1636,CiBy 2000,Australia
1245,ok,The Remains of the Day,1993-11-05,en,3.3994,11500000,23240144,Released,7.362,1493,Columbia Pictures,United Kingdom
5550,ok,RoboCop 3,1993-01-21,en,4.801,22000000,10696210,Released,4.909,1438,Orion Pictures,United States of America
8005,ok,Robin Hood: Men in Tights,1993-07-28,en,5.4981,20000000,35739755,Released,6.589,2264,Gaumont,United States of America
14534,ok,Rudy,1993-09-17,en,3.9297,12000000,22800000,Released,7.34,748,TriStar Pictures,United States of America
424,ok,Schindler's List,1993-12-15,en,27.601,22000000,321365567,Released,8.568,17379,Amblin Entertainment,United States of America
14291,ok,Searching for Bobby Fischer,1993-08-13,en,7.4758,12000000,7266383,Released,7.064,635,Mirage Enterprises,United States of America
11236,ok,The Secret Garden,1993-08-13,en,3.6758,18000000,40000000,Released,7.427,971,Warner Bros. Pictures,United States of America
858,ok,Sleepless in Seattle,1993-06-24,en,4.3749,21000000,227799884,Released,6.74,2567,TriStar Pictures,United States of America
78,ok,Blade Runner,1982-06-25,en,14.4172,28000000,41722424,Released,7.938,14910,Shaw Brothers,United States of America
10442,ok,So I Married an Axe Murderer,1993-07-30,en,2.755,20000000,11585483,Released,6.114,474,TriStar Pictures,United States of America
9607,ok,Super Mario Bros.,1993-05-28,en,5.594,48000000,20929518,Released,4.5,1441,Hollywood Pictures,United Kingdom
9479,ok,The Nightmare Before Christmas,1993-10-09,en,9.6846,18000000,75634409,Released,7.83,10287,Touchstone Pictures,United States of America
10057,ok,The Three Musketeers,1993-11-11,en,4.7462,30000000,111898845,Released,6.398,1053,Walt Disney Pictures,United States of America
11969,ok,Tombstone,1993-12-25,en,8.1191,25000000,73205065,Released,7.6,2432,Cinergi Pictures,United States of America
319,ok,True Romance,1993-09-09,en,6.3608,12500000,12600000,Released,7.536,3036,Morgan Creek Entertainment,United States of America
11446,ok,Welcome to the Dollhouse,1996-03-22,en,2.1175,800000,5034794,Released,7.078,500,Suburban Pictures,United States of America
9066,ok,The Brady Bunch Movie,1995-02-16,en,2.4374,12000000,46576136,Released,6.109,313,Paramount Pictures,United States of America
771,ok,Home Alone,1990-11-16,en,0.8496,18000000,476684675,Released,7.464,12449,Hughes Entertainment,United States of America
251,ok,Ghost,1990-07-13,en,10.4004,22000000,505000000,Released,7.233,5990,Paramount Pictures,United States of America
812,ok,Aladdin,1992-11-25,en,18.0627,28000000,504050219,Released,7.654,11969,Walt Disney Feature Animation,United States of America
280,ok,Terminator 2: Judgment Day,1991-07-03,en,23.8263,102000000,517778573,Released,8.145,14178,Carolco Pictures,France
581,ok,Dances with Wolves,1990-03-30,en,12.3386,22000000,424208848,Released,7.838,4660,Tig Productions,United Kingdom
268,ok,Batman,1989-06-21,en,9.0701,35000000,411348924,Released,7.231,8522,Warner Bros. Pictures,United States of America
274,ok,The Silence of the Lambs,1991-02-14,en,5.3193,19000000,272742922,Released,8.345,17887,Orion Pictures,United States of America
408,ok,Snow White and the Seven Dwarfs,1938-01-14,en,10.2313,1488423,184925486,Released,7.123,7961,Walt Disney Productions,United States of America
10020,ok,Beauty and the Beast,1991-10-22,en,12.4111,25000000,424967620,Released,7.726,10625,Silver Screen Partners IV,United States of America
10895,ok,Pinocchio,1940-02-23,en,10.5975,2600000,164000000,Released,7.108,6223,Walt Disney Productions,United States of America
114,ok,Pretty Woman,1990-03-23,en,9.7739,14000000,463406268,Released,7.4,8943,Touchstone Pictures,United States of America
275,ok,Fargo,1996-03-08,en,8.037,7000000,60611975,Released,7.8,9041,PolyGram Filmed Entertainment,United Kingdom
11827,ok,Heavy Metal,1981-08-07,en,3.0366,9300000,20118654,Released,6.511,776,Canadian Film Development Corporation,Canada
10112,ok,The Aristocats,1970-12-24,en,9.123,4000000,191000000,Released,7.3,5344,Walt Disney Productions,United States of America
1592,ok,Primal Fear,1996-04-03,en,9.421,30000000,102616183,Released,7.7,3881,Paramount Pictures,United States of America
9099,ok,Sgt. Bilko,1996-03-29,en,2.4717,39000000,37956793,Released,5.897,392,Imagine Entertainment,United States of America
